c SAT instance in DIMACS CNF input format.
p cnf 30 60
12 -21 -26 0
-9 -10 28 0
-9 11 14 0
-5 20 22 0
-12 17 26 0
11 -17 29 0
2 -12 25 0
5 21 29 0
8 -14 -18 0
12 -21 -25 0
-2 19 26 0
3 -19 -24 0
-11 16 22 0
8 -14 -30 0
7 -14 -29 0
-4 -6 -27 0
-16 -19 -28 0
-2 -19 -26 0
10 12 19 0
16 -21 23 0
8 -15 -30 0
6 11 15 0
-6 14 -24 0
20 24 -26 0
12 24 26 0
-15 -18 22 0
-2 19 29 0
3 28 30 0
3 -26 -30 0
-4 5 -8 0
-3 -5 -24 0
16 -19 25 0
-5 7 13 0
11 -13 15 0
-2 17 30 0
-9 12 26 0
13 20 26 0
11 -24 -29 0
-4 -25 -30 0
1 12 -21 0
10 -16 25 0
-5 -8 -12 0
-12 -18 25 0
-9 -18 20 0
2 -20 -29 0
-2 4 -29 0
-14 -15 21 0
-4 -8 14 0
-13 -16 21 0
-8 -24 30 0
8 12 -16 0
12 -20 -25 0
23 -25 -30 0
-3 17 29 0
7 -15 23 0
-4 -15 -28 0
3 7 -20 0
-6 22 29 0
-5 -13 28 0
-3 -12 28 0
27 41 42 3 6 30 10 10 15 13 36 46 23 19 32 8 47 18 23 47 10 0 3 46 32 10 18 22 41 1 
