c SAT instance in DIMACS CNF input format.
p cnf 20 40
3 5 -14 0
-13 14 -19 0
-3 -4 -14 0
-9 11 -13 0
-1 -19 20 0
3 14 -20 0
8 11 18 0
16 19 -20 0
7 -13 20 0
-8 19 -20 0
-1 -13 -17 0
5 13 14 0
-3 9 -19 0
-3 12 14 0
-5 -6 17 0
-2 -6 14 0
5 11 -16 0
-1 -13 -16 0
8 -12 -20 0
10 -12 -19 0
7 16 -18 0
-8 -12 15 0
-9 11 18 0
-3 -9 -14 0
-10 -18 19 0
-8 -9 -14 0
-5 -9 -15 0
-6 -10 14 0
6 9 -18 0
-3 7 8 0
-4 18 19 0
-3 9 -13 0
5 -15 -16 0
6 -17 19 0
-3 -9 11 0
2 -7 8 0
3 -9 16 0
6 7 -17 0
3 16 18 0
9 -15 19 0
13 29 26 2 0 21 4 9 20 20 5 26 24 9 26 23 9 35 43 8 
