c SAT instance in DIMACS CNF input format.
p cnf 25 50
-9 12 -20 0
-10 17 25 0
9 -13 17 0
-4 -22 24 0
2 -7 16 0
-1 5 6 0
-9 -13 -17 0
-1 -17 -25 0
-1 12 -15 0
-4 18 -20 0
-1 -5 7 0
-3 21 25 0
4 19 -24 0
-16 -20 22 0
-11 19 23 0
-17 18 23 0
2 3 -19 0
-1 5 -20 0
-10 20 -21 0
-7 17 -23 0
-8 -10 12 0
2 -8 18 0
-3 -17 21 0
4 20 23 0
-9 15 -21 0
-1 -9 -16 0
1 -3 21 0
-1 -8 -25 0
-1 7 -10 0
-9 15 19 0
-5 -10 -24 0
19 20 -23 0
18 21 -22 0
2 -4 24 0
-6 -15 -21 0
-1 -16 18 0
4 -9 -10 0
-9 -14 17 0
4 12 13 0
7 17 -19 0
-6 13 -19 0
10 11 -18 0
-6 21 -23 0
14 -18 25 0
-6 -18 25 0
3 -4 22 0
-21 -22 -25 0
13 17 21 0
-6 -8 23 0
-2 -21 22 0
40 46 8 16 43 19 8 6 0 2 49 14 9 37 41 24 10 38 30 3 7 8 14 2 39 
