c SAT instance in DIMACS CNF input format.
p cnf 30 48
6 -14 -28 0
7 -8 -23 0
-9 21 24 0
-8 -17 -30 0
3 6 19 0
4 -5 -6 0
23 28 29 0
-4 -17 -29 0
2 -4 -5 0
3 -9 -14 0
-1 21 22 0
4 -14 -15 0
15 -17 -30 0
-2 3 28 0
10 -15 25 0
3 -12 25 0
5 -19 29 0
-15 17 -19 0
-8 -16 23 0
-1 -23 -30 0
7 12 -20 0
1 -4 11 0
-9 -11 30 0
-6 -13 22 0
-3 13 14 0
-3 -23 24 0
16 -21 28 0
4 -10 29 0
-4 5 -12 0
-5 6 7 0
10 -15 -27 0
-16 -23 -25 0
-1 -17 -23 0
-6 -24 26 0
11 -17 30 0
10 25 29 0
21 -22 30 0
-8 11 -24 0
14 23 29 0
-5 15 16 0
14 21 -25 0
-8 22 26 0
1 -8 15 0
-6 -9 -27 0
8 13 28 0
4 22 -26 0
-11 13 16 0
-12 16 27 0
76 94 66 23 24 0 64 66 40 74 47 67 63 53 75 67 80 60 42 63 68 21 19 95 46 87 17 63 8 21 
