c SAT instance in DIMACS CNF input format.
p cnf 30 48
-2 25 -28 0
-4 -17 -22 0
1 2 -11 0
-17 18 -28 0
-12 21 -29 0
-5 -8 -19 0
5 6 12 0
2 12 -24 0
-1 11 -25 0
3 20 -22 0
-5 6 -25 0
-9 16 -26 0
6 19 -25 0
12 19 -23 0
2 -15 -26 0
8 15 17 0
10 14 20 0
9 25 30 0
9 -22 -30 0
5 17 -28 0
-2 19 21 0
-3 6 15 0
-1 4 10 0
-14 20 30 0
-7 -9 21 0
1 -9 17 0
-7 -11 -19 0
4 -20 21 0
-1 8 -11 0
-1 -22 -25 0
5 13 -25 0
-16 -20 -28 0
-7 23 -29 0
2 18 -24 0
4 -10 -17 0
8 -10 -23 0
-12 14 -18 0
-21 24 25 0
-10 15 22 0
6 8 -20 0
-3 -7 10 0
-13 -23 25 0
14 20 -29 0
6 -14 -29 0
-10 -15 -23 0
2 -9 -16 0
-10 14 -23 0
-10 -14 -24 0
49 21 44 27 97 58 25 87 49 62 1 72 80 28 83 23 94 54 61 40 49 91 72 69 30 12 51 12 11 99 
