c SAT instance in DIMACS CNF input format.
p cnf 30 48
5 -6 -11 0
-2 -14 28 0
-4 -8 26 0
-5 11 -30 0
-6 15 -23 0
3 -13 22 0
4 21 -26 0
18 -26 29 0
-11 15 -19 0
9 22 -24 0
7 11 -22 0
1 2 17 0
19 23 -24 0
-10 13 -26 0
-3 16 27 0
-18 -19 -30 0
-2 4 29 0
4 -10 14 0
10 16 30 0
-8 9 -20 0
-3 -7 -24 0
12 -15 -30 0
8 -12 -19 0
-12 -17 23 0
2 -13 -27 0
-1 -7 30 0
-12 -23 -24 0
-1 12 13 0
-3 -15 27 0
3 17 28 0
-1 9 21 0
1 4 19 0
-11 -16 19 0
-7 -8 -23 0
-1 -18 -24 0
-6 -10 -14 0
-10 13 26 0
14 -15 25 0
-3 16 -22 0
-3 -9 11 0
3 -7 -17 0
-3 -11 -17 0
-1 16 -20 0
1 11 -12 0
-22 -24 -26 0
-6 -7 19 0
3 14 27 0
-10 -11 -27 0
23 69 91 60 99 58 49 59 30 9 20 67 84 87 1 99 36 74 56 50 41 42 30 57 25 90 54 86 34 92 
