c SAT instance in DIMACS CNF input format.
p cnf 30 48
-2 -3 -12 0
-4 -12 29 0
15 -18 -23 0
6 12 -18 0
5 -6 -10 0
8 -15 19 0
3 -23 -30 0
-5 9 -18 0
11 13 -29 0
-22 -26 -28 0
14 -16 26 0
-11 -19 -20 0
-14 19 20 0
-9 -15 20 0
1 14 25 0
3 5 28 0
-11 23 30 0
-1 14 -22 0
-12 17 29 0
-4 6 28 0
18 -19 -22 0
10 13 -18 0
-8 -14 -18 0
10 -22 24 0
1 17 19 0
-1 2 -5 0
4 -19 -24 0
11 14 -30 0
-2 11 -30 0
-2 10 17 0
-11 -22 26 0
8 24 -25 0
11 18 24 0
8 -13 -19 0
2 -9 -25 0
-3 -6 26 0
-5 -18 24 0
-6 -15 28 0
3 -5 7 0
-6 -8 -12 0
17 -23 25 0
-1 -9 25 0
-3 -5 -28 0
-2 -27 -29 0
13 -17 27 0
-3 4 -7 0
4 -7 -27 0
1 8 20 0
49 61 95 82 76 47 56 27 40 70 68 17 95 61 57 43 0 28 54 97 22 55 0 90 88 36 66 19 1 17 
