c SAT instance in DIMACS CNF input format.
p cnf 30 48
-4 -7 -29 0
-4 -20 30 0
-7 17 19 0
-3 -7 11 0
4 -5 20 0
-9 10 21 0
-2 -10 -14 0
7 -11 25 0
-8 -9 13 0
5 18 21 0
-14 -17 -20 0
1 -4 25 0
8 22 29 0
19 21 26 0
-6 -15 27 0
-4 -14 24 0
4 12 -18 0
5 -12 17 0
4 8 -16 0
-13 16 -24 0
-12 -16 27 0
-15 -20 -24 0
-4 8 18 0
-4 -15 25 0
7 -22 23 0
-5 -15 -30 0
6 -16 20 0
-1 21 28 0
1 11 25 0
20 -24 -29 0
7 14 -22 0
3 -16 -29 0
6 -20 29 0
-3 16 -24 0
10 18 27 0
-16 -18 -23 0
11 -12 -15 0
17 20 26 0
5 -16 22 0
-5 11 -26 0
8 -18 24 0
1 10 -20 0
-15 -17 19 0
4 15 -29 0
9 17 -27 0
7 8 -16 0
-18 21 -25 0
11 -19 -29 0
61 44 24 69 86 25 91 60 98 94 84 69 19 23 39 51 65 5 42 36 63 57 76 34 66 45 92 7 25 58 
