c SAT instance in DIMACS CNF input format.
p cnf 30 48
-11 19 24 0
-23 -28 -30 0
3 18 29 0
-1 -10 28 0
-7 -10 -29 0
1 -3 5 0
-17 20 27 0
-8 -16 26 0
10 -20 21 0
-9 18 -22 0
-3 21 -27 0
-3 9 23 0
1 -8 11 0
-16 25 -30 0
10 14 -30 0
6 -12 -30 0
-15 27 28 0
-12 16 30 0
-10 -12 -14 0
-2 -7 -23 0
-2 16 21 0
-2 -7 -19 0
3 11 -15 0
3 13 24 0
-3 -13 18 0
3 -12 -20 0
-3 5 -16 0
-7 27 28 0
-4 -12 13 0
4 21 -29 0
5 14 15 0
-3 7 -20 0
9 24 28 0
-3 14 -16 0
4 12 -15 0
-6 -11 -26 0
-2 16 18 0
-3 -5 23 0
10 -19 -29 0
-3 13 -15 0
-9 -24 -28 0
-5 -20 -26 0
10 -14 -30 0
20 22 -26 0
1 4 5 0
-5 23 -26 0
-18 24 -26 0
2 11 -16 0
74 22 89 91 55 78 78 62 98 48 62 65 24 25 5 20 22 49 58 46 37 40 68 79 98 32 6 12 46 18 
