c SAT instance in DIMACS CNF input format.
p cnf 30 48
-10 19 -28 0
-4 22 -23 0
3 -10 -17 0
-4 -11 18 0
3 11 -24 0
-4 9 26 0
-14 -23 -25 0
3 23 -26 0
-2 -6 27 0
2 -4 -16 0
-13 14 24 0
-3 -10 -29 0
9 -14 -17 0
2 18 -28 0
-9 -14 -21 0
5 15 -25 0
-8 16 -26 0
-4 -6 9 0
9 -16 25 0
3 -11 17 0
1 24 -27 0
-13 19 -24 0
4 -19 28 0
8 15 26 0
-10 15 -20 0
3 4 -11 0
2 17 -27 0
9 15 -24 0
-1 -5 24 0
9 -14 -19 0
-6 -11 -23 0
-4 -8 -30 0
-3 15 16 0
-8 -19 24 0
13 16 -21 0
-5 15 16 0
7 24 27 0
-6 -16 -24 0
10 -20 26 0
-1 8 26 0
9 -13 18 0
7 9 -28 0
-9 25 27 0
4 -21 -28 0
-4 5 13 0
-5 20 27 0
-2 12 -13 0
-13 -14 19 0
55 56 47 68 53 93 39 51 50 4 97 13 0 38 36 90 79 38 72 91 59 55 81 12 54 2 88 45 39 91 
