c SAT instance in DIMACS CNF input format.
p cnf 30 48
-14 -17 28 0
-26 -29 30 0
-5 -6 -7 0
15 19 -30 0
-20 -29 30 0
12 13 -25 0
-2 -10 -27 0
-10 -14 -30 0
9 11 25 0
-1 15 -25 0
-7 -26 -28 0
-8 -9 -27 0
-5 14 -20 0
-10 -21 23 0
1 -3 26 0
-7 -9 -11 0
-5 9 30 0
-4 6 20 0
-7 24 -26 0
-6 -18 21 0
1 6 -27 0
2 4 -20 0
-11 -22 30 0
-7 11 17 0
-10 -20 29 0
-2 -6 -29 0
1 -8 30 0
-2 -4 30 0
-3 19 24 0
26 28 29 0
-4 5 -12 0
4 7 13 0
-2 -20 -28 0
-3 -22 23 0
11 -13 -22 0
-1 25 27 0
-5 8 -12 0
-5 9 27 0
-10 -12 14 0
18 24 -30 0
-15 -19 23 0
-8 14 19 0
-1 9 -27 0
-6 -9 17 0
-11 25 26 0
5 -6 9 0
23 26 28 0
-8 15 -28 0
81 0 35 60 56 7 89 20 76 2 59 32 38 3 63 3 40 66 24 43 46 2 44 12 10 19 61 58 22 70 
